RANK,Country,Region,Happiness score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
120,Tunisia,Middle East and North Africa,4.51600,1.54000,1.35000,0.59600,0.65600,0.31600,0.02900,0.02900
121,Pakistan,South Asia,4.51600,1.94000,1.04900,0.41300,0.37400,0.44800,0.18100,0.11200
122,Palestinian Territories*,Middle East and North Africa,4.48300,1.36800,1.14800,0.95700,0.52100,0.33600,0.07300,0.07900
123,Mali,Sub-Saharan Africa,4.47900,2.37300,0.79200,0.48300,0.31100,0.35000,0.12800,0.04200
124,Namibia,Sub-Saharan Africa,4.45900,1.41400,1.29200,0.87700,0.35400,0.38400,0.06700,0.07100
125,"Eswatini, Kingdom of*",Central and Eastern Europe,4.39600,1.68800,1.27400,0.78600,0.19700,0.25900,0.03800,0.15400
126,Myanmar,Southeast Asia,4.39400,0.87700,1.03800,0.82900,0.49100,0.51300,0.45200,0.19400
127,Sri Lanka,South Asia,4.36200,0.59500,1.41500,0.93400,0.66000,0.52900,0.15000,0.07900
128,Madagascar*,Sub-Saharan Africa,4.33900,2.14800,0.67000,0.64500,0.37800,0.20200,0.14300,0.15400
129,Egypt,Middle East and North Africa,4.28800,0.85600,1.38800,0.73200,0.54800,0.46900,0.04100,0.25400
130,Chad*,Sub-Saharan Africa,4.25100,2.41900,0.66200,0.50600,0.22500,0.18000,0.18200,0.07700
131,Ethiopia,Sub-Saharan Africa,4.24100,1.37500,0.78800,0.80900,0.45700,0.47200,0.20500,0.13600
132,Yemen*,Middle East and North Africa,4.19700,1.56100,0.69100,1.04300,0.38400,0.33000,0.09000,0.09800
133,Mauritania*,Sub-Saharan Africa,4.15300,1.20700,1.10000,0.86500,0.45000,0.30400,0.08800,0.13800
134,Jordan,Middle East and North Africa,4.15200,0.69500,1.32400,0.72400,0.67500,0.47600,0.05800,0.20000
135,Togo,Sub-Saharan Africa,4.11200,2.06100,0.77100,0.32200,0.36000,0.29200,0.17400,0.13200
136,India,South Asia,3.77700,0.79500,1.16700,0.37600,0.47100,0.64700,0.19800,0.12300
137,Zambia,Sub-Saharan Africa,3.76000,1.13500,0.93000,0.57700,0.30600,0.52500,0.20300,0.08300
138,Malawi,Sub-Saharan Africa,3.75000,1.66100,0.64800,0.27900,0.38800,0.47700,0.14000,0.15700
139,Tanzania,Sub-Saharan Africa,3.70200,0.73500,0.84800,0.59700,0.42500,0.57800,0.24800,0.27000
140,Sierra Leone,Sub-Saharan Africa,3.57400,1.55600,0.68600,0.41600,0.27300,0.38700,0.20200,0.05500
141,Lesotho*,Sub-Saharan Africa,3.51200,1.31200,0.83900,0.84800,0.00000,0.41900,0.07600,0.01800
142,Botswana*,Sub-Saharan Africa,3.47100,0.18700,1.50300,0.81500,0.28000,0.57100,0.01200,0.10200
143,Rwanda*,Sub-Saharan Africa,3.26800,0.53600,0.78500,0.13300,0.46200,0.62100,0.18700,0.54400
144,Zimbabwe,Sub-Saharan Africa,2.99500,0.54800,0.94700,0.69000,0.27000,0.32900,0.10600,0.10500
145,Lebanon,Middle East and North Africa,2.95500,0.21600,1.39200,0.49800,0.63100,0.10300,0.08200,0.03400
146,Afghanistan,South Asia,2.40400,1.26300,0.75800,0.00000,0.28900,0.00000,0.08900,0.00500
